0 1 2 3 4 5 6
0 1 2 3 4 7 8
0 9 18 27 43 49 60
0 10 25 31 38 50 62
0 11 22 30 39 48 61
0 12 24 34 37 45 55
0 13 26 33 44 51 54
0 14 21 28 36 52 56
0 15 20 32 40 53 57
0 16 23 35 42 46 59
0 17 19 29 41 47 58
1 9 21 35 38 47 54
1 10 19 28 40 46 61
1 11 25 27 37 53 58
1 12 20 31 44 49 59
1 13 18 32 39 50 56
1 14 26 34 41 48 60
1 15 23 29 43 52 55
1 16 24 30 36 51 57
1 17 22 33 42 45 62
2 9 19 33 39 53 55
2 10 23 30 37 49 54
2 11 20 29 42 51 56
2 12 18 35 36 48 58
2 13 25 28 41 45 59
2 14 22 27 38 46 57
2 15 21 34 44 50 61
2 16 26 32 43 47 62
2 17 24 31 40 52 60
3 9 22 32 37 52 59
3 10 24 27 44 47 56
3 11 23 33 36 50 60
3 12 21 30 41 53 62
3 13 19 34 42 49 57
3 14 25 35 40 51 55
3 15 26 31 39 46 58
3 16 18 29 38 45 61
3 17 20 28 43 48 54
4 9 25 29 44 48 57
4 10 20 35 39 45 60
4 11 24 32 41 46 54
4 12 26 27 42 52 61
4 13 22 31 36 47 55
4 14 19 30 43 50 59
4 15 18 28 37 51 62
4 16 21 33 40 49 58
4 17 23 34 38 53 56
5 6 7 8 14 15 17
5 9 20 34 36 46 62
5 10 18 33 41 52 57
5 11 26 28 38 49 55
5 12 22 29 40 50 54
5 13 24 35 43 53 61
5 14 23 32 44 45 58
5 15 25 30 42 47 60
5 16 19 31 37 48 56
5 17 21 27 39 51 59
6 9 26 30 40 45 56
6 10 22 34 43 51 58
6 11 19 35 44 52 62
6 12 23 28 39 47 57
6 13 21 29 37 46 60
6 14 18 31 42 53 54
6 15 24 33 38 48 59
6 16 20 27 41 50 55
6 17 25 32 36 49 61
7 9 24 28 42 50 58
7 10 26 29 36 53 59
7 11 21 31 43 45 57
7 12 19 32 38 51 60
7 13 23 27 40 48 62
7 14 20 33 37 47 61
7 15 22 35 41 49 56
7 16 25 34 39 52 54
7 17 18 30 44 46 55
8 9 23 31 41 51 61
8 10 21 32 42 48 55
8 11 18 34 40 47 59
8 12 25 33 43 46 56
8 13 20 30 38 52 58
8 14 24 29 39 49 62
8 15 19 27 36 45 54
8 16 22 28 44 53 60
8 17 26 35 37 50 57
9 10 11 12 13 14 15
9 10 11 12 13 16 17
14 15 16 23 24 25 26
18 19 20 21 22 23 24
18 19 20 21 22 25 26
27 28 29 30 31 32 33
27 28 29 30 31 34 35
32 33 34 35 41 42 44
36 37 38 39 40 41 42
36 37 38 39 40 43 44
41 42 43 50 51 52 53
45 46 47 48 49 50 51
45 46 47 48 49 52 53
54 55 56 57 58 59 60
54 55 56 57 58 61 62
56 57 58 59 60 61 62
